"8bitoperator JVE";24;False;False;1;0;1;1
32;212;138;9;32;8;0
33;184;138;7;32;14;2
34;96;138;9;32;14;0
35;130;2;13;32;18;0
36;112;104;11;32;16;0
37;114;2;13;32;18;0
38;82;2;13;32;18;0
39;238;138;3;32;8;0
40;154;138;7;32;12;0
41;144;138;7;32;12;0
42;0;2;15;32;20;0
43;98;104;11;32;16;0
44;249;269;3;32;8;0
45;257;269;12;32;17;0
46;240;269;4;32;9;0
47;56;104;11;32;16;0
48;42;104;11;32;16;0
49;28;104;11;32;16;0
50;70;138;11;32;16;0
51;126;104;11;32;16;0
52;196;70;11;32;16;0
53;210;70;11;32;16;0
54;224;70;11;32;16;0
55;238;70;11;32;16;0
56;0;104;11;32;16;0
57;182;70;11;32;16;0
58;0;172;3;32;8;0
59;231;269;4;32;9;0
60;120;138;9;32;14;0
61;70;104;11;32;16;0
62;132;138;9;32;14;0
63;140;104;11;32;16;0
64;154;104;11;32;16;0
65;168;104;11;32;16;0
66;182;104;11;32;16;0
67;196;104;11;32;16;0
68;210;104;11;32;16;0
69;224;104;11;32;16;0
70;238;104;11;32;16;0
71;0;138;11;32;16;0
72;14;138;11;32;16;0
73;28;138;11;32;16;0
74;42;138;11;32;16;0
75;56;138;11;32;16;0
76;14;104;11;32;16;0
77;98;2;13;32;18;0
78;112;70;11;32;16;0
79;168;70;11;32;16;0
80;112;36;11;32;16;0
81;98;36;11;32;16;0
82;84;36;11;32;16;0
83;70;36;11;32;16;0
84;56;36;11;32;16;0
85;42;36;11;32;16;0
86;28;36;11;32;16;0
87;34;2;13;32;18;0
88;0;36;11;32;16;0
89;230;2;11;32;16;0
90;216;2;11;32;16;0
91;194;138;7;32;12;0
92;202;2;11;32;16;0
93;174;138;7;32;12;0
94;188;2;11;32;16;0
95;164;138;7;32;12;0
96;204;138;5;32;10;0
97;174;2;11;32;16;0
98;160;2;11;32;16;0
99;146;2;11;32;16;0
100;126;36;11;32;16;0
101;154;36;11;32;16;0
102;140;70;11;32;16;0
103;168;36;11;32;16;0
104;126;70;11;32;16;0
105;154;70;11;32;16;0
106;98;70;11;32;16;0
107;84;70;11;32;16;0
108;70;70;11;32;16;0
109;50;2;13;32;18;0
110;42;70;11;32;16;0
111;28;70;11;32;16;0
112;14;70;11;32;16;0
113;0;70;11;32;16;0
114;238;36;11;32;16;0
115;224;36;11;32;16;0
116;210;36;11;32;16;0
117;196;36;11;32;16;0
118;182;36;11;32;16;0
119;66;2;13;32;18;0
120;140;36;11;32;16;0
121;56;70;11;32;16;0
122;14;36;11;32;16;0
123;84;138;9;32;14;0
124;244;138;3;32;8;0
125;108;138;9;32;14;0
126;18;2;13;32;18;0
1025;8;173;11;32;16;0
1040;24;173;11;32;16;0
1041;40;173;11;32;16;0
1042;56;173;11;32;16;0
1043;72;173;11;32;16;0
1044;88;173;15;32;20;0
1045;108;173;11;32;16;0
1046;124;173;19;32;24;0
1047;148;173;11;32;16;0
1048;164;173;11;32;16;0
1049;180;173;11;32;16;0
1050;196;173;11;32;16;0
1051;212;173;13;32;18;0
1052;230;173;13;32;18;0
1053;246;173;11;32;16;0
1054;262;173;11;32;16;0
1055;278;173;11;32;16;0
1056;294;173;11;32;16;0
1057;310;173;11;32;16;0
1058;326;173;11;32;16;0
1059;0;205;11;32;16;0
1060;16;205;19;32;24;0
1061;40;205;11;32;16;0
1062;56;205;13;32;18;0
1063;76;205;11;32;16;0
1064;94;205;19;32;24;0
1065;118;205;21;32;26;0
1066;142;205;15;32;20;0
1067;162;205;17;32;22;0
1068;184;205;11;32;16;0
1069;200;205;11;32;16;0
1070;216;205;17;32;22;0
1071;238;205;11;32;16;0
1072;254;205;11;32;16;0
1073;270;205;11;32;16;0
1074;286;205;11;32;16;0
1075;302;205;11;32;14;0
1076;316;205;15;32;20;0
1077;0;237;11;32;16;0
1078;16;237;19;32;24;0
1079;40;237;11;32;16;0
1080;56;237;11;32;16;0
1081;72;237;11;32;16;0
1082;88;237;11;32;16;0
1083;104;237;13;32;18;0
1084;124;237;13;32;18;0
1085;144;237;11;32;16;0
1086;160;237;11;32;16;0
1087;176;237;11;32;16;0
1088;192;237;11;32;16;0
1089;208;237;11;32;16;0
1090;224;237;11;32;16;0
1091;240;237;11;32;16;0
1092;256;237;19;32;24;0
1093;280;237;11;32;16;0
1094;296;237;13;32;18;0
1095;314;237;11;32;16;0
1096;0;269;19;32;24;0
1097;24;269;21;32;26;0
1098;50;269;13;32;18;0
1099;66;269;17;32;22;0
1100;88;269;11;32;16;0
1101;104;269;11;32;16;0
1102;120;269;17;32;22;0
1103;142;269;11;32;16;0
1105;158;269;11;32;16;0
1122;175;269;14;32;19;0
1123;194;269;13;32;18;0
10084;210;269;15;31;20;0
